ID_Servicio,Nombre_Servicio,Precio,Duracion_min
201,Corte Premium,25000,45
202,Afeitado Clásico,18000,30
203,Arreglo de Barba,15000,25
204,Ritual Completo (Corte + Barba),40000,70
205,Corte Clásico,20000,40
206,Corte Infantil,15000,30
207,Perfilado de Cejas,12000,15
208,Limpieza Facial Express,22000,25
209,Limpieza Facial Profunda,35000,50
210,Coloración de Barba,18000,30
211,Tinte Capilar,30000,45
212,Masaje Capilar Relajante,20000,20
213,Exfoliación Facial,28000,30
214,Tratamiento Capilar Nutritivo,40000,50
215,Paquete Ejecutivo (Corte + Barba + Facial),60000,90
